"Order ID","Sale Date","Sale price","COGS","Status","Store Name","Store Id","Customer Invoice Number"
"f3mt-teg8","2020-07-01 00:30:12.259000","86.23","144.77","done","PandaNow (Sathorn)","f3mt","ABB-0000001947"
"f0yg-w0qh","2020-07-01 00:32:28.158000","81.02","59.93","done","PandaNow (Lat Phrao)","f0yg","20202657"
"f0yg-3hqu","2020-07-01 00:33:20.078000","55.0","46.74","done","PandaNow (Lat Phrao)","f0yg","ABB-0000001948"
"f3mt-0i4y","2020-07-01 00:33:57.601000","76.56","124.31","done","PandaNow (Sathorn)","f3mt","ABB-0000001949"
"f0yg-k4ux","2020-07-01 00:36:12.148000","96.0","334.88","done","PandaNow (Lat Phrao)","f0yg","ABB-0000001950"
"f0yg-8ck8","2020-07-01 01:14:24","110.37","169.28","done","PandaNow (Lat Phrao)","f0yg","ABB-0000001951"
"f0yg-iu60","2020-07-01 01:18:31.909000","76.43","123.60","done","PandaNow (Lat Phrao)","f0yg","ABB-0000001952"
"f4gt-pjh6","2020-07-01 01:36:29.200000","86.87","68.90","done","PandaNow (Wattana)","f4gt","ABB-0000001953"
"f0yg-x48g","2020-07-01 01:44:27.438000","59.11","49.77","done","PandaNow (Lat Phrao)","f0yg","ABB-0000001954"
"f0yg-vjiu","2020-07-01 02:06:52.177000","115.0","87.74","done","PandaNow (Lat Phrao)","f0yg","ABB-0000001955"
"f0yg-5pec","2020-07-01 02:44:11.934000","50.0","44.86","done","PandaNow (Lat Phrao)","f0yg","ABB-0000001956"
"f4gt-2c1c","2020-07-01 04:06:29.605000","92.0","65.53","done","PandaNow (Wattana)","f4gt","ABB-0000001957"
"f0yg-xsds","2020-07-01 05:31:16.147000","155.87","188.05","done","PandaNow (Lat Phrao)","f0yg","ABB-0000001958"
"f4gt-i7y0","2020-07-01 06:19:47.257000","156.0","201.93","done","PandaNow (Wattana)","f4gt","ABB-0000001959"
"f0yg-t7xy","2020-07-01 07:21:51.720000","55.0","33.83","done","PandaNow (Lat Phrao)","f0yg","ABB-0000001960"
"f0yg-wuuy","2020-07-01 08:06:01.063000","245.1","240.00","done","PandaNow (Lat Phrao)","f0yg","20202671"
"f0yg-3s1e","2020-07-01 08:46:47.762000","85.0","140.22","done","PandaNow (Lat Phrao)","f0yg","20202672"
"f3mt-2k8h","2020-07-01 09:15:54.571000","95.95","154.77","done","PandaNow (Sathorn)","f3mt","ABB-0000001961"
"f4gt-f3jb","2020-07-01 09:18:48.579000","79.0","103.12","done","PandaNow (Wattana)","f4gt","ABB-0000001962"
"f3mt-t91b","2020-07-01 09:29:33.099000","77.7","130.27","done","PandaNow (Sathorn)","f3mt","ABB-0000001965"
"f3mt-xe4i","2020-07-01 08:08:03.599000","78.01","121.10","done","PandaNow (Sathorn)","f3mt","ABB-0000001966"
"f4gt-1m5d","2020-07-01 09:30:35.290000","179.0","144.14","done","PandaNow (Wattana)","f4gt","ABB-0000001963"
"f4gt-230k","2020-07-01 09:32:41.708000","97.0","142.30","done","PandaNow (Wattana)","f4gt","ABB-0000001964"
"f3mt-hjz9","2020-07-01 09:34:06.836000","75.87","118.14","done","PandaNow (Sathorn)","f3mt","ABB-0000001967"
"f4gt-5ffb","2020-07-01 09:50:03.213000","115.0","136.68","done","PandaNow (Wattana)","f4gt","ABB-0000001968"
"f3mt-q5de","2020-07-01 09:55:38.314000","154.75","156.70","done","PandaNow (Sathorn)","f3mt","ABB-0000001969"
"f4gt-fbxw","2020-07-01 09:57:43.746000","77.0","119.62","done","PandaNow (Wattana)","f4gt","ABB-0000001970"
"f0yg-vf0a","2020-07-01 10:02:01.741000","140.3","198.12","done","PandaNow (Lat Phrao)","f0yg","20202683"
"f4gt-l0cz","2020-07-01 10:05:51.858000","90.0","66.66","done","PandaNow (Wattana)","f4gt","ABB-0000001971"
"f4gt-7e1f","2020-07-01 10:11:18.536000","85.0","140.22","done","PandaNow (Wattana)","f4gt","ABB-0000001972"
"f4gt-bsxi","2020-07-01 10:13:41.199000","75.0","107.38","done","PandaNow (Wattana)","f4gt","ABB-0000001973"
"f0yg-fpwa","2020-07-01 10:18:25.560000","240.72","281.37","done","PandaNow (Lat Phrao)","f0yg","ABB-0000001974"
"f4gt-bvj3","2020-07-01 10:20:08.910000","87.0","134.72","done","PandaNow (Wattana)","f4gt","ABB-0000001976"
"f4gt-al1r","2020-07-01 10:20:14.162000","129.0","129.07","done","PandaNow (Wattana)","f4gt","ABB-0000001977"
"f0yg-dngs","2020-07-01 10:23:31.252000","119.0","148.79","done","PandaNow (Lat Phrao)","f0yg","ABB-0000001975"
"f4gt-64l7","2020-07-01 10:31:18.965000","83.0","129.92","done","PandaNow (Wattana)","f4gt","ABB-0000001978"
"f4gt-zdjz","2020-07-01 10:37:44.236000","138.0","107.04","done","PandaNow (Wattana)","f4gt","ABB-0000001979"
"f4gt-f0qs","2020-07-01 10:46:17.149000","75.0","122.42","done","PandaNow (Wattana)","f4gt","ABB-0000001980"
"f4gt-sxcg","2020-07-01 10:49:58.914000","65.0","45.56","done","PandaNow (Wattana)","f4gt","ABB-0000001981"
"f3mt-2su4","2020-07-01 10:50:44.649000","152.1","134.25","done","PandaNow (Sathorn)","f3mt","ABB-0000001982"
"f0yg-6zfx","2020-07-01 11:01:23.788000","90.0","124.70","done","PandaNow (Lat Phrao)","f0yg","20202696"
"f4gt-72mn","2020-07-01 11:07:55.855000","168.4","204.42","done","PandaNow (Wattana)","f4gt","ABB-0000001984"
"f0yg-29hd","2020-07-01 11:10:13.895000","550.0","450.90","done","PandaNow (Lat Phrao)","f0yg","ABB-0000001983"
"f0yg-juo8","2020-07-01 11:31:40.424000","100.0","152.39","done","PandaNow (Lat Phrao)","f0yg","ABB-0000001985"
